,"Lackendorf <10824>",75,,64,,13,,110,,109,,136,,58,,4,,3,,2,,9,,12,,1,,-,,3,,7,,2,,4,,7,,4,,-,,
,"Lockenhaus <10809>",218,,242,,87,,299,,427,,458,,226,,27,,18,,10,,47,,43,,21,,7,,11,,3,,3,,10,,9,,2,,-,,
,"Lutzmannsburg <10810>",64,,89,,34,,112,,172,,197,,93,,4,,14,,2,,9,,27,,14,,4,,8,,6,,3,,6,,5,,1,,-,,
,"Mannersdorf an der Rabnitz <10811>",198,,178,,50,,268,,384,,403,,182,,21,,18,,9,,37,,40,,15,,3,,2,,3,,1,,2,,6,,1,,-,,
,"Markt Sankt Martin <10812>",158,,163,,50,,181,,284,,249,,138,,15,,5,,3,,28,,21,,7,,-,,1,,1,,1,,3,,2,,2,,1,,
,"Neckenmarkt <10813>",213,,212,,70,,261,,366,,370,,187,,5,,5,,3,,13,,17,,4,,1,,-,,1,,1,,2,,1,,1,,1,,
,"Neutal <10814>",125,,146,,51,,168,,224,,236,,130,,22,,5,,4,,24,,11,,7,,-,,4,,8,,2,,11,,7,,2,,-,,
,"Nikitsch <10815>",120,,129,,49,,130,,298,,323,,265,,29,,8,,4,,40,,18,,18,,7,,11,,7,,4,,9,,7,,5,,3,,
,"Oberloisdorf <10828>",106,,98,,27,,131,,174,,157,,83,,10,,10,,4,,14,,12,,4,,1,,1,,2,,2,,1,,1,,1,,-,,
,"Oberpullendorf <10816>",324,,433,,128,,507,,661,,606,,347,,33,,32,,15,,62,,64,,29,,2,,40,,39,,14,,42,,43,,15,,7,,
,"Pilgersdorf <10817>",192,,192,,65,,253,,371,,373,,162,,6,,5,,2,,11,,15,,7,,1,,2,,2,,1,,-,,2,,1,,-,,
,"Piringsdorf <10818>",105,,101,,26,,139,,187,,191,,83,,2,,4,,1,,6,,4,,3,,1,,2,,1,,-,,2,,1,,-,,-,,
,"Raiding <10819>",112,,111,,46,,135,,173,,169,,169,,4,,1,,-,,5,,6,,5,,-,,-,,1,,-,,2,,1,,1,,-,,
,"Ritzing <10820>",66,,108,,41,,126,,189,,206,,138,,26,,9,,3,,25,,9,,2,,2,,2,,3,,-,,5,,3,,1,,2,,
,"Steinberg-Dörfl <10821>",150,,168,,63,,204,,271,,273,,152,,10,,8,,1,,19,,24,,7,,-,,-,,5,,-,,3,,3,,2,,-,,
,"Stoob <10822>",130,,200,,61,,203,,321,,268,,118,,15,,10,,4,,23,,14,,7,,1,,12,,6,,-,,13,,6,,3,,-,,
,"Unterfrauenhaid <10825>",91,,64,,21,,131,,131,,145,,48,,1,,3,,1,,5,,5,,5,,-,,2,,14,,3,,4,,3,,-,,-,,
,"Unterrabnitz-Schwendgraben <10826>",94,,80,,32,,121,,148,,127,,52,,2,,1,,1,,4,,4,,2,,-,,-,,1,,-,,2,,1,,1,,-,,
,"Weingraben <10827>",32,,37,,8,,42,,57,,81,,47,,15,,3,,2,,16,,7,,5,,1,,3,,3,,3,,3,,4,,2,,-,,
,"Weppersdorf <10823>",214,,289,,101,,302,,385,,381,,212,,18,,13,,5,,26,,25,,7,,3,,2,,3,,1,,7,,3,,4,,-,,
,"Bad Tatzmannsdorf <10901>",165,,171,,47,,249,,325,,337,,185,,43,,27,,7,,52,,45,,24,,8,,4,,5,,-,,3,,-,,4,,-,,
,"Badersdorf <10931>",35,,43,,18,,39,,63,,74,,30,,-,,-,,-,,2,,1,,1,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Bernstein <10902>",219,,245,,83,,293,,448,,513,,256,,2,,14,,5,,17,,28,,13,,4,,25,,16,,6,,25,,14,,8,,1,,
,"Deutsch Schützen-Eisenberg <10903>",88,,99,,33,,131,,247,,279,,161,,8,,3,,3,,15,,17,,13,,4,,-,,-,,-,,-,,2,,4,,-,,
,"Grafenschachen <10904>",137,,177,,58,,217,,298,,254,,88,,10,,3,,3,,15,,6,,5,,1,,1,,1,,-,,3,,4,,1,,-,,
,"Großpetersdorf <10905>",374,,453,,147,,523,,762,,742,,395,,37,,36,,14,,58,,64,,38,,13,,23,,33,,20,,34,,18,,8,,1,,
,"Hannersdorf <10906>",70,,76,,19,,104,,162,,186,,85,,8,,5,,3,,15,,12,,9,,1,,2,,1,,1,,5,,1,,2,,-,,
,"Jabing <10930>",67,,95,,33,,104,,165,,156,,88,,8,,9,,2,,10,,16,,6,,1,,-,,-,,-,,2,,2,,2,,1,,
,"Kemeten <10907>",172,,192,,60,,245,,368,,314,,124,,24,,11,,4,,38,,25,,9,,1,,5,,3,,1,,5,,9,,4,,-,,
,"Kohfidisch <10908>",152,,155,,59,,223,,341,,332,,157,,8,,10,,5,,24,,13,,9,,2,,-,,1,,-,,5,,3,,1,,1,,
,"Litzelsdorf <10909>",134,,137,,53,,176,,276,,247,,114,,8,,11,,3,,14,,23,,4,,-,,1,,1,,-,,3,,1,,1,,-,,
,"Loipersdorf-Kitzladen <10910>",198,,225,,89,,234,,319,,238,,84,,3,,13,,4,,10,,15,,3,,-,,-,,14,,4,,3,,4,,3,,-,,
,"Mariasdorf <10911>",128,,151,,50,,177,,288,,266,,112,,1,,5,,-,,5,,10,,5,,-,,-,,-,,-,,4,,2,,1,,-,,
,"Markt Allhau <10912>",244,,261,,105,,321,,402,,383,,182,,22,,11,,-,,29,,23,,10,,1,,3,,3,,-,,8,,4,,-,,-,,
,"Markt Neuhodis <10913>",61,,75,,26,,90,,157,,168,,70,,3,,4,,3,,10,,10,,12,,3,,-,,1,,-,,2,,3,,1,,1,,
,"Mischendorf <10914>",146,,170,,58,,207,,364,,368,,164,,10,,7,,4,,15,,8,,7,,1,,2,,2,,1,,7,,2,,4,,-,,
,"Neustift an der Lafnitz <10929>",118,,126,,44,,178,,189,,149,,38,,2,,1,,1,,4,,1,,-,,-,,-,,4,,1,,-,,-,,-,,-,,
,"Oberdorf im Burgenland <10915>",106,,138,,40,,129,,235,,233,,103,,8,,7,,-,,12,,14,,7,,-,,-,,2,,-,,2,,3,,-,,1,,
,"Oberschützen <10916>",311,,311,,98,,358,,472,,461,,273,,63,,29,,11,,55,,58,,19,,2,,10,,11,,4,,14,,11,,12,,1,,
,"Oberwart <10917>",842,,999,,326,,1053,,1425,,1459,,743,,136,,127,,41,,198,,187,,67,,23,,170,,206,,65,,196,,109,,54,,4,,
,"Pinkafeld <10918>",723,,807,,281,,878,,1134,,1022,,626,,51,,52,,14,,87,,70,,40,,11,,116,,140,,51,,73,,59,,41,,9,,
,"Rechnitz <10919>",292,,361,,130,,410,,608,,641,,365,,48,,36,,18,,75,,53,,40,,14,,18,,5,,-,,11,,10,,6,,4,,
,"Riedlingsdorf <10920>",181,,245,,75,,255,,345,,316,,157,,18,,12,,6,,20,,24,,7,,8,,13,,15,,6,,12,,15,,12,,1,,
